Project Name,Benchmark Name,Count,Direct Count,Methods,Direct Methods
jdbi,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbc,0,0,,
jdbi,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiBean,0,0,,
jdbi,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiMap,0,0,,
jdbi,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiNamed,0,0,,
jdbi,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiPositional,0,0,,
jdbi,org.jdbi.v3.benchmark.BeanBindingBenchmark.oneJdbc,0,0,,
jdbi,org.jdbi.v3.benchmark.BeanBindingBenchmark.oneJdbi,0,0,,
jdbi,org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsCopy,0,0,,
jdbi,org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsOther,0,0,,
jdbi,org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsRandomCase,0,0,,
jdbi,org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseCopy,0,0,,
jdbi,org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseOther,0,0,,
jdbi,org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseRandomCase,0,0,,
jdbi,org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringEquals,0,0,,
jdbi,org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringNotEquals,0,0,,
jdbi,org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsCopy,0,0,,
jdbi,org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsOther,0,0,,
jdbi,org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsRandomCase,0,0,,
jdbi,org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByExactName,0,0,,
jdbi,org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByOrdinal,0,0,,
jdbi,org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByRandomCaseName,0,0,,
jdbi,org.jdbi.v3.benchmark.QualifiersBenchmark.eq0To0,0,0,,
jdbi,org.jdbi.v3.benchmark.QualifiersBenchmark.eq1To1,0,0,,
jdbi,org.jdbi.v3.benchmark.QualifiersBenchmark.eq2To2,0,0,,
jdbi,org.jdbi.v3.benchmark.QualifiersBenchmark.eq3To3,0,0,,
jdbi,org.jdbi.v3.benchmark.QualifiersBenchmark.eq4To4,0,0,,
jdbi,org.jdbi.v3.benchmark.QualifiersBenchmark.mapQualifiedBean,0,0,,
jdbi,org.jdbi.v3.benchmark.QualifiersBenchmark.mapUnqualifiedBean,0,0,,
