Project Name,Benchmark Name,Count,Direct Count,Methods,Direct Methods
jetty.project,org.eclipse.jetty.client.jmh.ConnectionPoolsBenchmark.testPool,63,34,"org.eclipse.jetty.util.MemoryUtils.getCacheLineBytes,org.eclipse.jetty.client.AbstractConnectionPool.released,org.eclipse.jetty.client.AbstractConnectionPool.idle,org.eclipse.jetty.client.ProxyConfiguration.match,org.eclipse.jetty.util.AtomicBiInteger.compareAndSet,org.eclipse.jetty.util.AtomicBiInteger.getLo,org.eclipse.jetty.util.Pool.startIndex,org.eclipse.jetty.client.HttpRequest.getConversation,org.eclipse.jetty.client.AbstractConnectionPool.release,org.eclipse.jetty.client.HttpClient.isDefaultPort,org.eclipse.jetty.util.component.AbstractLifeCycle.isStarting,org.eclipse.jetty.util.AbstractTrie.requiredCapacity,org.eclipse.jetty.io.ClientConnector.getScheduler,org.eclipse.jetty.util.BlockingArrayQueue.offer,org.eclipse.jetty.util.Jetty.formatTimestamp,org.eclipse.jetty.util.BlockingArrayQueue.add,org.eclipse.jetty.util.Pool.isClosed,org.eclipse.jetty.client.HttpDestination.getPort,org.eclipse.jetty.client.AbstractConnectionPool.deactivate,org.eclipse.jetty.client.AbstractConnectionPool.isClosed,org.eclipse.jetty.client.HttpDestination.getHttpExchanges,org.eclipse.jetty.util.component.ContainerLifeCycle.contains,org.eclipse.jetty.util.component.AbstractLifeCycle.isRunning,org.eclipse.jetty.client.HttpClient.normalizePort,org.eclipse.jetty.util.component.ContainerLifeCycle.addBean,org.eclipse.jetty.http.HttpCompliance.with,org.eclipse.jetty.client.AbstractConnectionPool.acquire,org.eclipse.jetty.client.HttpClient.getProxyConfiguration,org.eclipse.jetty.client.HttpConversation.updateResponseListeners,org.eclipse.jetty.client.HttpDestination.isSecure,org.eclipse.jetty.util.AtomicBiInteger.encode,org.eclipse.jetty.util.AtomicBiInteger.getHi,org.eclipse.jetty.client.AbstractHttpClientTransport.setConnectionPoolFactory,org.eclipse.jetty.util.AbstractTrie.isCaseInsensitive,org.eclipse.jetty.util.ArrayTrie.put,org.eclipse.jetty.client.Origin.getAddress,org.eclipse.jetty.http.HttpCompliance.copyOf,org.eclipse.jetty.util.HostPort.normalizeHost,org.eclipse.jetty.util.AbstractTrie.get,org.eclipse.jetty.util.MemoryUtils.getIntegersPerCacheLine,org.eclipse.jetty.util.Pool.acquire,org.eclipse.jetty.client.AbstractConnectionPool.acquired,org.eclipse.jetty.util.ProcessorUtils.availableProcessors,org.eclipse.jetty.client.HttpClient.getScheduler,org.eclipse.jetty.util.component.AbstractLifeCycle.isStarted,org.eclipse.jetty.util.StringUtil.asciiToLowerCase,org.eclipse.jetty.client.HttpClient.getMaxRequestsQueuedPerDestination,org.eclipse.jetty.util.component.ContainerLifeCycle.getBean,org.eclipse.jetty.util.BufferUtil.toBuffer,org.eclipse.jetty.util.ArrayTernaryTrie.put,org.eclipse.jetty.util.StringUtil.getBytes,org.eclipse.jetty.client.HttpClient.isFollowRedirects,org.eclipse.jetty.util.Pool.release,org.eclipse.jetty.util.ArrayTrie.get,org.eclipse.jetty.client.AbstractConnectionPool.activate,org.eclipse.jetty.util.ProcessorUtils.init,org.eclipse.jetty.client.HttpExchange.getResponseListeners,org.eclipse.jetty.client.HttpClient.isSchemeSecure,org.eclipse.jetty.client.HttpDestination.getHost,org.eclipse.jetty.client.HttpDestination.newExchangeQueue,org.eclipse.jetty.client.AbstractConnectionPool.setMaxMultiplex,org.eclipse.jetty.client.Origin.getTag,org.eclipse.jetty.client.MultiplexConnectionPool.setMaxMultiplex","org.eclipse.jetty.client.ProxyConfiguration.match,org.eclipse.jetty.client.HttpRequest.getConversation,org.eclipse.jetty.client.AbstractConnectionPool.release,org.eclipse.jetty.client.HttpClient.isDefaultPort,org.eclipse.jetty.util.AbstractTrie.requiredCapacity,org.eclipse.jetty.util.Jetty.formatTimestamp,org.eclipse.jetty.util.BlockingArrayQueue.add,org.eclipse.jetty.client.HttpDestination.getPort,org.eclipse.jetty.client.AbstractConnectionPool.deactivate,org.eclipse.jetty.client.HttpDestination.getHttpExchanges,org.eclipse.jetty.util.component.ContainerLifeCycle.addBean,org.eclipse.jetty.http.HttpCompliance.with,org.eclipse.jetty.client.HttpConversation.updateResponseListeners,org.eclipse.jetty.client.HttpClient.getProxyConfiguration,org.eclipse.jetty.client.HttpClient.normalizePort,org.eclipse.jetty.client.AbstractConnectionPool.acquire,org.eclipse.jetty.client.HttpDestination.isSecure,org.eclipse.jetty.client.AbstractHttpClientTransport.setConnectionPoolFactory,org.eclipse.jetty.util.ArrayTrie.put,org.eclipse.jetty.http.HttpCompliance.copyOf,org.eclipse.jetty.util.HostPort.normalizeHost,org.eclipse.jetty.util.ProcessorUtils.availableProcessors,org.eclipse.jetty.client.HttpClient.getScheduler,org.eclipse.jetty.util.StringUtil.asciiToLowerCase,org.eclipse.jetty.util.component.ContainerLifeCycle.getBean,org.eclipse.jetty.util.ArrayTernaryTrie.put,org.eclipse.jetty.util.StringUtil.getBytes,org.eclipse.jetty.client.HttpClient.isFollowRedirects,org.eclipse.jetty.client.AbstractConnectionPool.activate,org.eclipse.jetty.util.ProcessorUtils.init,org.eclipse.jetty.client.HttpDestination.getHost,org.eclipse.jetty.client.HttpDestination.newExchangeQueue,org.eclipse.jetty.client.Origin.getTag,org.eclipse.jetty.client.MultiplexConnectionPool.setMaxMultiplex"
jetty.project,org.eclipse.jetty.http.jmh.HttpMethodBenchmark.testHttpMethodMove,8,6,"org.eclipse.jetty.util.ArrayTernaryTrie.hilo,org.eclipse.jetty.util.AbstractTrie.isCaseInsensitive,org.eclipse.jetty.util.ArrayTrie.put,org.eclipse.jetty.util.BufferUtil.toBuffer,org.eclipse.jetty.util.ArrayTernaryTrie.put,org.eclipse.jetty.util.StringUtil.getBytes,org.eclipse.jetty.util.AbstractTrie.requiredCapacity,org.eclipse.jetty.util.ArrayTernaryTrie.getBest","org.eclipse.jetty.util.ArrayTrie.put,org.eclipse.jetty.util.BufferUtil.toBuffer,org.eclipse.jetty.util.ArrayTernaryTrie.put,org.eclipse.jetty.util.StringUtil.getBytes,org.eclipse.jetty.util.AbstractTrie.requiredCapacity,org.eclipse.jetty.util.ArrayTernaryTrie.getBest"
jetty.project,org.eclipse.jetty.http.jmh.HttpMethodBenchmark.testHttpMethodPost,6,5,"org.eclipse.jetty.util.ArrayTrie.put,org.eclipse.jetty.util.AbstractTrie.isCaseInsensitive,org.eclipse.jetty.util.BufferUtil.toBuffer,org.eclipse.jetty.util.ArrayTernaryTrie.put,org.eclipse.jetty.util.StringUtil.getBytes,org.eclipse.jetty.util.AbstractTrie.requiredCapacity","org.eclipse.jetty.util.ArrayTrie.put,org.eclipse.jetty.util.BufferUtil.toBuffer,org.eclipse.jetty.util.ArrayTernaryTrie.put,org.eclipse.jetty.util.StringUtil.getBytes,org.eclipse.jetty.util.AbstractTrie.requiredCapacity"
jetty.project,org.eclipse.jetty.http.jmh.HttpMethodBenchmark.testIntSwitch,6,5,"org.eclipse.jetty.util.ArrayTrie.put,org.eclipse.jetty.util.AbstractTrie.isCaseInsensitive,org.eclipse.jetty.util.BufferUtil.toBuffer,org.eclipse.jetty.util.ArrayTernaryTrie.put,org.eclipse.jetty.util.StringUtil.getBytes,org.eclipse.jetty.util.AbstractTrie.requiredCapacity","org.eclipse.jetty.util.ArrayTrie.put,org.eclipse.jetty.util.BufferUtil.toBuffer,org.eclipse.jetty.util.ArrayTernaryTrie.put,org.eclipse.jetty.util.StringUtil.getBytes,org.eclipse.jetty.util.AbstractTrie.requiredCapacity"
jetty.project,org.eclipse.jetty.http.jmh.HttpMethodBenchmark.testMapGet,0,0,,
jetty.project,org.eclipse.jetty.http.jmh.HttpMethodBenchmark.testTrieGetBest,0,0,,
jetty.project,org.eclipse.jetty.io.jmh.ByteBufferBenchmark.testDirect,0,0,,
jetty.project,org.eclipse.jetty.io.jmh.ByteBufferBenchmark.testInDirect,0,0,,
jetty.project,org.eclipse.jetty.io.jmh.ByteBufferBenchmark.testInDirectArray,0,0,,
jetty.project,org.eclipse.jetty.logging.jmh.IndentBenchmark.testStringRepeatLarge,0,0,,
