Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
vert.x,io.vertx.core.AbstractVerticleTest.testFieldsSet,8,3,",io.vertx.core.impl.DeploymentManager.doDeploy,io.vertx.core.json.JsonObject.containsKey,io.vertx.core.impl.DeploymentManager.generateDeploymentID,io.vertx.core.impl.VertxImpl.getContext,io.vertx.core.json.JsonObject.getValue,io.vertx.core.impl.VertxThreadFactory.newThread,io.vertx.core.json.JsonObject.equals,io.vertx.core.impl.VertxImpl.deployVerticle,io.vertx.test.core.AsyncTestBase.await,io.vertx.core.impl.DeploymentManager.deployVerticle,io.vertx.core.impl.ContextImpl.runOnContext,io.vertx.core.json.JsonObject.copy,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.core.impl.VertxImpl.getOrCreateContext,io.vertx.core.impl.EventLoopContext.runOnContext",",io.vertx.test.core.AsyncTestBase.await,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.core.impl.VertxImpl.deployVerticle"
vert.x,io.vertx.core.AccessEventBusFromInitVerticleFactoryTest.testLoadFactoryThatCheckEventBusAndSharedDataForNull,2,1,",io.vertx.core.impl.VerticleManager.verticleFactories,io.vertx.core.impl.VertxImpl.verticleFactories,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.test.core.AsyncTestBase.checkThread",",io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.VertxImpl.verticleFactories,io.vertx.test.core.AsyncTestBase.assertEquals"
vert.x,io.vertx.core.BlockedThreadCheckerTest.testBlockCheckDefault,7,1,",io.vertx.core.impl.DeploymentManager.doDeploy,io.vertx.core.impl.VertxThreadFactory.newThread,io.vertx.core.impl.BlockedThreadChecker.registerThread,io.vertx.core.impl.VertxImpl.deployVerticle,io.vertx.core.impl.ContextImpl.runOnContext,io.vertx.core.impl.DeploymentManager.deployVerticle,io.vertx.test.core.AsyncTestBase.await,io.vertx.core.impl.EventLoopContext.runOnContext",",io.vertx.test.core.AsyncTestBase.await,io.vertx.core.impl.VertxImpl.deployVerticle"
vert.x,io.vertx.core.BlockedThreadCheckerTest.testBlockCheckExceptionTimeLimit,10,3,",io.vertx.core.impl.ContextImpl.runOnContext,io.vertx.core.impl.EventLoopContext.runOnContext,io.vertx.test.core.BlockedThreadWarning.expectMessage,io.vertx.core.net.impl.transport.Transport.eventLoopGroup,io.vertx.core.file.impl.FileCache.registerShutdownHook,io.vertx.core.impl.DeploymentManager.doDeploy,io.vertx.core.impl.VertxThreadFactory.newThread,io.vertx.core.file.impl.FileCache.setupCache,io.vertx.core.impl.DeploymentManager.deployVerticle,io.vertx.core.impl.VertxFactory.createFileResolver,io.vertx.test.core.VertxTestBase.vertx,io.vertx.core.impl.VertxImpl.deployVerticle,io.vertx.core.impl.VerticleManager.loadVerticleFactories,io.vertx.core.impl.VertxFactory.vertx,io.vertx.core.file.impl.FileCache.setupCacheDir,io.vertx.test.core.AsyncTestBase.await,io.vertx.core.ServiceHelper.loadFactories,io.vertx.core.VertxOptions.setMaxEventLoopExecuteTime",",io.vertx.test.core.BlockedThreadWarning.expectMessage,io.vertx.core.impl.VertxImpl.deployVerticle,io.vertx.test.core.VertxTestBase.vertx,io.vertx.test.core.AsyncTestBase.await,io.vertx.core.VertxOptions.setMaxEventLoopExecuteTime"
vert.x,io.vertx.core.BlockedThreadCheckerTest.testBlockCheckExecuteBlocking,13,3,",io.vertx.core.impl.ContextImpl.runOnContext,io.vertx.core.impl.EventLoopContext.runOnContext,io.vertx.test.core.BlockedThreadWarning.expectMessage,io.vertx.core.DeploymentOptions.isWorker,io.vertx.core.net.impl.transport.Transport.eventLoopGroup,io.vertx.core.file.impl.FileCache.registerShutdownHook,io.vertx.core.impl.DeploymentManager.doDeploy,io.vertx.core.impl.DeploymentManager.generateDeploymentID,io.vertx.core.impl.VertxThreadFactory.newThread,io.vertx.core.file.impl.FileCache.setupCache,io.vertx.core.impl.DeploymentManager.deployVerticle,io.vertx.core.impl.VertxFactory.createFileResolver,io.vertx.core.net.TCPSSLOptions.init,io.vertx.core.impl.VertxImpl.getOrCreateContext,io.vertx.test.core.VertxTestBase.vertx,io.vertx.core.impl.VertxImpl.deployVerticle,io.vertx.core.impl.VerticleManager.loadVerticleFactories,io.vertx.core.impl.VertxImpl.createEventLoopContext,io.vertx.core.impl.VertxFactory.vertx,io.vertx.core.file.impl.FileCache.setupCacheDir,io.vertx.test.core.AsyncTestBase.await,io.vertx.core.ServiceHelper.loadFactories",",io.vertx.test.core.BlockedThreadWarning.expectMessage,io.vertx.test.core.VertxTestBase.vertx,io.vertx.core.impl.VertxImpl.deployVerticle,io.vertx.test.core.AsyncTestBase.await,io.vertx.core.net.TCPSSLOptions.init"
vert.x,io.vertx.core.BlockedThreadCheckerTest.testBlockCheckWorker,13,4,",io.vertx.core.impl.TaskQueue.execute,io.vertx.core.impl.ContextImpl.runOnContext,io.vertx.test.core.AsyncTestBase.rethrowError,io.vertx.core.impl.WorkerContext.runOnContext,io.vertx.test.core.BlockedThreadWarning.expectMessage,io.vertx.core.net.impl.transport.Transport.eventLoopGroup,io.vertx.core.file.impl.FileCache.registerShutdownHook,io.vertx.core.impl.DeploymentManager.doDeploy,io.vertx.core.impl.VertxImpl.getContext,io.vertx.core.impl.VertxImpl.getFileSystem,io.vertx.core.impl.VertxThreadFactory.newThread,io.vertx.core.file.impl.FileCache.setupCache,io.vertx.core.impl.DeploymentManager.deployVerticle,io.vertx.core.impl.VertxFactory.createFileResolver,io.vertx.core.impl.WorkerContext.run,io.vertx.core.impl.VertxImpl.getOrCreateContext,io.vertx.test.core.VertxTestBase.vertx,io.vertx.core.impl.VertxImpl.deployVerticle,io.vertx.core.impl.VerticleManager.loadVerticleFactories,io.vertx.core.impl.VertxFactory.vertx,io.vertx.core.impl.VertxImpl.createWorkerContext,io.vertx.test.core.AsyncTestBase.await,io.vertx.core.ServiceHelper.loadFactories",",io.vertx.test.core.BlockedThreadWarning.expectMessage,io.vertx.core.impl.VertxImpl.deployVerticle,io.vertx.test.core.VertxTestBase.vertx,io.vertx.test.core.AsyncTestBase.await"
vert.x,io.vertx.core.ClasspathVerticleFactoryTest.testLoadedFromClasspath,4,2,",io.vertx.core.impl.VerticleManager.verticleFactories,io.vertx.core.impl.VertxImpl.verticleFactories,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.test.core.AsyncTestBase.checkThread","io.vertx.core.impl.VertxImpl.verticleFactories,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.test.core.AsyncTestBase.assertEquals,"
vert.x,io.vertx.core.ComplexHATest.testComplexFailover,45,4,",io.vertx.core.VertxOptions.getMaxWorkerExecuteTime,io.vertx.core.impl.future.FutureImpl.addListener,io.vertx.core.eventbus.impl.CodecManager.codecs,io.vertx.core.ComplexHATest.getClusterManager,io.vertx.core.impl.VerticleManager.doDeployVerticle,io.vertx.core.impl.BlockedThreadChecker.registerThread,io.vertx.core.spi.cluster.impl.DefaultNodeSelector.init,io.vertx.core.impl.AbstractContext.executeBlocking,io.vertx.core.file.FileSystemOptions.isClassPathResolvingEnabled,io.vertx.core.VertxOptions.getMaxEventLoopExecuteTime,io.vertx.core.impl.AbstractContext.isRunningOnContext,io.vertx.core.impl.VerticleManager.registerVerticleFactory,io.vertx.core.impl.VerticleManager.resolveFactories,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.VertxOptions.isHAEnabled,io.vertx.core.net.TCPSSLOptions.init,io.vertx.test.fakecluster.FakeClusterManager.init,io.vertx.core.impl.VerticleManager.getCurrentClassLoader,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.core.impl.VertxFactory.createTransport,io.vertx.core.net.TCPSSLOptions.getEnabledCipherSuites,io.vertx.core.net.impl.transport.Transport.transport,io.vertx.core.json.JsonObject.put,io.vertx.core.impl.future.PromiseImpl.future,io.vertx.core.impl.VertxImpl.executeBlocking,io.vertx.core.AccessEventBusFromInitVerticleFactory.init,io.vertx.core.impl.ContextImpl.execute,io.vertx.core.impl.VertxFactory.createClusterManager,io.vertx.core.impl.WorkerPool.executor,io.vertx.core.impl.AbstractContext.promise,io.vertx.core.VertxOptions.getInternalBlockingPoolSize,io.vertx.core.VertxOptions.getMaxEventLoopExecuteTimeUnit,io.vertx.core.impl.VerticleManager.deployVerticle,io.vertx.core.DeploymentOptions.getClassLoader,io.vertx.core.impl.ContextImpl.executeBlocking,io.vertx.core.file.impl.FileCache.setupCache,io.vertx.core.impl.VertxFactory.createFileResolver,io.vertx.core.impl.future.FutureImpl.onComplete,io.vertx.test.core.TestUtils.randomAlphaString,io.vertx.core.impl.VertxFactory.clusteredVertx,io.vertx.core.impl.VertxImpl.deployVerticle,io.vertx.core.impl.VerticleManager.loadVerticleFactories,io.vertx.core.impl.VertxImpl.createEventLoopContext,io.vertx.core.impl.future.FutureBase.map,io.vertx.core.eventbus.impl.codecs.StringMessageCodec.systemCodecID,io.vertx.core.VertxOptions.getEventLoopPoolSize,io.vertx.core.DeploymentOptions.isHa,io.vertx.test.core.VertxTestBase.clusteredVertx,io.vertx.core.impl.VertxImpl.initClustered,io.vertx.core.impl.VertxFactory.createTracer,io.vertx.core.VertxOptions.setClusterManager,io.vertx.core.VertxOptions.getAddressResolverOptions,io.vertx.test.core.AsyncTestBase.checkThread,io.vertx.core.eventbus.impl.codecs.NullMessageCodec.systemCodecID,io.vertx.core.impl.HAManager.doDeployVerticle,io.vertx.core.impl.VertxFactory.createNodeSelector,io.vertx.core.net.impl.transport.Transport.eventLoopGroup,io.vertx.core.eventbus.impl.codecs.DoubleMessageCodec.systemCodecID,io.vertx.core.impl.EventLoopContext.execute,io.vertx.test.fakecluster.FakeClusterManager.join,io.vertx.core.impl.VertxImpl.getContext,io.vertx.core.impl.VertxThreadFactory.newThread,io.vertx.core.impl.JavaVerticleFactory.createVerticle,io.vertx.core.impl.EventLoopContext.inThread,io.vertx.core.VertxOptions.setHAEnabled,io.vertx.core.impl.VertxImpl.haManager,io.vertx.core.eventbus.impl.codecs.BooleanMessageCodec.systemCodecID,io.vertx.core.impl.future.FutureBase.emitSuccess,io.vertx.core.file.impl.FileCache.setupCacheDir,io.vertx.core.DeploymentOptions.setConfig,io.vertx.core.ServiceHelper.loadFactories,io.vertx.core.eventbus.impl.codecs.BufferMessageCodec.systemCodecID,io.vertx.core.impl.VertxImpl.failoverCompleteHandler,io.vertx.core.impl.LoaderManager.getClassLoader,io.vertx.core.impl.HAManager.isEnabled,io.vertx.core.eventbus.impl.codecs.CharMessageCodec.systemCodecID,io.vertx.core.impl.HAManager.deployVerticle,io.vertx.core.impl.TaskQueue.execute,io.vertx.core.impl.HAManager.setFailoverCompleteHandler,io.vertx.core.ComplexHATest.deployRandomVerticles,io.vertx.core.eventbus.impl.codecs.LongMessageCodec.systemCodecID,io.vertx.core.DeploymentOptions.getIsolationGroup,io.vertx.core.file.impl.FileCache.registerShutdownHook,io.vertx.core.impl.VertxImpl.getFileSystem,io.vertx.core.net.TCPSSLOptions.getEnabledSecureTransportProtocols,io.vertx.core.eventbus.impl.codecs.ReplyExceptionMessageCodec.systemCodecID,io.vertx.core.impl.future.FutureBase.compose,io.vertx.core.eventbus.impl.codecs.ByteMessageCodec.systemCodecID,io.vertx.core.impl.VertxImpl.getOrCreateContext,io.vertx.test.core.VertxTestBase.startNodes,io.vertx.core.DeploymentOptions.setHa,io.vertx.core.impl.AbstractContext.setResultHandler,io.vertx.test.core.AsyncTestBase.await",",io.vertx.test.core.VertxTestBase.startNodes,io.vertx.test.core.TestUtils.randomAlphaString,io.vertx.core.impl.VertxImpl.failoverCompleteHandler,io.vertx.core.VertxOptions.setHAEnabled,io.vertx.test.core.AsyncTestBase.await,io.vertx.core.net.TCPSSLOptions.init,io.vertx.core.ComplexHATest.deployRandomVerticles"
vert.x,io.vertx.core.CompositeFutureTest.tesConcurrenttJoinSuccess,5,4,",io.vertx.test.core.AsyncTestBase.disableThreadChecks,io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.core.impl.future.PromiseImpl.future,io.vertx.core.impl.future.FutureImpl.addListener,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.FutureImpl.onComplete,io.vertx.test.core.AsyncTestBase.rethrowError,io.vertx.test.core.AsyncTestBase.await,io.vertx.core.impl.future.CompositeFutureImpl.join",",io.vertx.test.core.AsyncTestBase.disableThreadChecks,io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.core.impl.future.PromiseImpl.future,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.test.core.AsyncTestBase.await,io.vertx.core.impl.future.CompositeFutureImpl.join"
vert.x,io.vertx.core.CompositeFutureTest.testAllFailed,7,5,",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.core.impl.future.FutureBase.emitFailure,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.core.impl.future.FutureImpl.tryFail,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.future,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.core.impl.future.FutureImpl.onComplete,io.vertx.core.impl.future.FutureBase.emitSuccess,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.test.core.AsyncTestBase.checkThread,io.vertx.core.impl.future.CompositeFutureImpl.resultAt",",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.core.impl.future.FutureImpl.tryFail,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.core.impl.future.CompositeFutureImpl.resultAt"
vert.x,io.vertx.core.CompositeFutureTest.testAllFailedWithList,0,0,,
vert.x,io.vertx.core.CompositeFutureTest.testAllLargeList,18,10,",io.vertx.core.impl.future.CompositeFutureImpl.trySucceed,io.vertx.core.impl.future.FutureImpl.failed,io.vertx.core.impl.future.FutureImpl.addListener,io.vertx.core.impl.future.FailedFuture.failed,io.vertx.core.impl.future.FutureImpl.succeeded,io.vertx.core.impl.future.FailedFuture.succeeded,io.vertx.test.core.AsyncTestBase.checkThread,io.vertx.core.impl.future.FailedFuture.onComplete,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.core.impl.future.FutureBase.emit,io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.core.impl.future.CompositeFutureImpl.cause,io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.future,io.vertx.core.impl.future.FutureImpl.onComplete,io.vertx.core.impl.future.CompositeFutureImpl.isComplete,io.vertx.core.impl.future.FutureImpl.result,io.vertx.core.impl.future.CompositeFutureImpl.failed,io.vertx.core.impl.future.SucceededFuture.succeeded,io.vertx.core.impl.future.CompositeFutureImpl.succeeded,io.vertx.core.impl.future.FutureBase.emitFailure,io.vertx.core.impl.future.FutureImpl.isComplete,io.vertx.core.impl.future.FutureImpl.cause,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.core.impl.future.FutureImpl.tryFail,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.core.impl.future.FutureBase.emitSuccess,io.vertx.core.impl.future.SucceededFuture.onComplete",",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.core.impl.future.CompositeFutureImpl.cause,io.vertx.core.impl.future.CompositeFutureImpl.succeeded,io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.core.impl.future.CompositeFutureImpl.isComplete,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.core.impl.future.FutureImpl.result,io.vertx.core.impl.future.CompositeFutureImpl.failed"
vert.x,io.vertx.core.CompositeFutureTest.testAllSucceeded,5,4,",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.core.impl.future.CompositeFutureImpl.failed,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.FutureBase.emitSuccess,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.core.impl.future.FutureImpl.result,io.vertx.test.core.AsyncTestBase.checkThread,io.vertx.core.impl.future.CompositeFutureImpl.resultAt",",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.core.impl.future.CompositeFutureImpl.failed,io.vertx.core.impl.future.CompositeFutureImpl.resultAt"
vert.x,io.vertx.core.CompositeFutureTest.testAllSucceededWithList,0,0,,
vert.x,io.vertx.core.CompositeFutureTest.testAllWithEmptyList,2,1,",io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.test.core.AsyncTestBase.checkThread,io.vertx.core.impl.future.CompositeFutureImpl.all",",io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.all"
vert.x,io.vertx.core.CompositeFutureTest.testAnyFailed,4,3,",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.core.impl.future.FutureBase.emitFailure,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.core.impl.future.FutureImpl.tryFail,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.any,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.test.core.AsyncTestBase.checkThread",",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.core.impl.future.FutureImpl.tryFail,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.any,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals"
vert.x,io.vertx.core.CompositeFutureTest.testAnyFailedWithList,0,0,,
vert.x,io.vertx.core.CompositeFutureTest.testAnyLargeList,17,10,",io.vertx.core.impl.future.CompositeFutureImpl.trySucceed,io.vertx.core.impl.future.FutureImpl.failed,io.vertx.core.impl.future.FutureImpl.addListener,io.vertx.core.impl.future.FailedFuture.failed,io.vertx.core.impl.future.FutureImpl.succeeded,io.vertx.core.impl.future.FailedFuture.succeeded,io.vertx.core.impl.ContextImpl.execute,io.vertx.test.core.AsyncTestBase.checkThread,io.vertx.core.impl.future.FailedFuture.onComplete,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.core.impl.future.CompositeFutureImpl.any,io.vertx.core.impl.EventLoopContext.execute,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.core.impl.future.FutureBase.emit,io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.core.impl.future.CompositeFutureImpl.cause,io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.core.impl.future.CompositeFutureImpl.future,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.FutureImpl.onComplete,io.vertx.core.impl.future.CompositeFutureImpl.isComplete,io.vertx.core.impl.future.FutureImpl.result,io.vertx.core.impl.future.CompositeFutureImpl.failed,io.vertx.core.impl.future.SucceededFuture.succeeded,io.vertx.core.impl.future.CompositeFutureImpl.succeeded,io.vertx.core.impl.future.FutureBase.emitFailure,io.vertx.core.impl.future.FutureImpl.isComplete,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.core.impl.future.FutureImpl.cause,io.vertx.core.impl.future.FutureBase.emitSuccess,io.vertx.core.impl.future.SucceededFuture.onComplete",",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.core.impl.future.CompositeFutureImpl.cause,io.vertx.core.impl.future.CompositeFutureImpl.succeeded,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.any,io.vertx.core.impl.future.CompositeFutureImpl.isComplete,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.core.impl.future.FutureImpl.result,io.vertx.core.impl.future.CompositeFutureImpl.failed"
vert.x,io.vertx.core.CompositeFutureTest.testAnySucceeded1,7,5,",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.core.impl.future.CompositeFutureImpl.trySucceed,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.any,io.vertx.core.impl.future.FutureBase.emitSuccess,io.vertx.core.impl.future.CompositeFutureImpl.isComplete,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.core.impl.future.FutureImpl.result,io.vertx.test.core.AsyncTestBase.checkThread,io.vertx.core.impl.future.CompositeFutureImpl.resultAt",",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.any,io.vertx.core.impl.future.CompositeFutureImpl.isComplete,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.core.impl.future.FutureImpl.result,io.vertx.core.impl.future.CompositeFutureImpl.resultAt"
vert.x,io.vertx.core.CompositeFutureTest.testAnySucceeded1WithList,0,0,,
vert.x,io.vertx.core.CompositeFutureTest.testAnySucceeded2,6,4,",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.core.impl.future.CompositeFutureImpl.cause,io.vertx.core.impl.future.FutureBase.emitFailure,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.core.impl.future.FutureImpl.cause,io.vertx.core.impl.future.FutureImpl.tryFail,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.any,io.vertx.core.impl.future.FutureBase.emitSuccess,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.test.core.AsyncTestBase.checkThread",",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.core.impl.future.CompositeFutureImpl.cause,io.vertx.test.core.AsyncTestBase.assertFalse,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.core.impl.future.FutureImpl.tryFail,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.any,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals"
vert.x,io.vertx.core.CompositeFutureTest.testAnySucceeded2WithList,0,0,,
vert.x,io.vertx.core.CompositeFutureTest.testAnyWithEmptyList,2,1,",io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.test.core.AsyncTestBase.checkThread",",io.vertx.test.core.AsyncTestBase.assertTrue"
vert.x,io.vertx.core.CompositeFutureTest.testCompositeFutureCauses,2,1,",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.core.impl.future.SucceededFuture.onComplete,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.test.core.AsyncTestBase.checkThread",",io.vertx.test.core.AsyncTestBase.assertNotNull,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.test.core.AsyncTestBase.assertNull,io.vertx.test.core.AsyncTestBase.assertEquals"
vert.x,io.vertx.core.CompositeFutureTest.testCompositeFutureMulti,3,1,",io.vertx.core.impl.future.CompositeFutureImpl.trySucceed,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.core.impl.future.FutureBase.emitSuccess",",io.vertx.core.impl.future.FutureImpl.tryComplete"
vert.x,io.vertx.core.CompositeFutureTest.testCompositeFutureToList,3,1,",io.vertx.core.impl.future.FutureImpl.addListener,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.core.impl.future.FutureImpl.onComplete,io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.test.core.AsyncTestBase.checkThread",",io.vertx.test.core.AsyncTestBase.assertEquals,io.vertx.core.impl.future.CompositeFutureImpl.all"
vert.x,io.vertx.core.CompositeFutureTest.testConcurrentAllFailure,6,3,",io.vertx.test.core.AsyncTestBase.disableThreadChecks,io.vertx.core.impl.future.FutureBase.emitFailure,io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.core.impl.future.PromiseImpl.future,io.vertx.core.impl.future.FutureImpl.addListener,io.vertx.core.impl.future.FutureImpl.tryFail,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.core.impl.future.FutureImpl.onComplete,io.vertx.test.core.AsyncTestBase.rethrowError,io.vertx.test.core.AsyncTestBase.await",",io.vertx.test.core.AsyncTestBase.disableThreadChecks,io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.core.impl.future.PromiseImpl.future,io.vertx.core.impl.future.FutureImpl.tryFail,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.test.core.AsyncTestBase.await"
vert.x,io.vertx.core.CompositeFutureTest.testConcurrentAllMixed,4,3,",io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.core.impl.future.PromiseImpl.future,io.vertx.core.impl.future.FutureImpl.addListener,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.core.impl.future.FutureImpl.onComplete,io.vertx.test.core.AsyncTestBase.rethrowError,io.vertx.test.core.AsyncTestBase.await",",io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.core.impl.future.PromiseImpl.future,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.test.core.AsyncTestBase.await"
vert.x,io.vertx.core.CompositeFutureTest.testConcurrentAllSuccess,5,3,",io.vertx.test.core.AsyncTestBase.disableThreadChecks,io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.core.impl.future.PromiseImpl.future,io.vertx.core.impl.future.FutureImpl.addListener,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.core.impl.future.FutureImpl.onComplete,io.vertx.test.core.AsyncTestBase.rethrowError,io.vertx.test.core.AsyncTestBase.await",",io.vertx.test.core.AsyncTestBase.disableThreadChecks,io.vertx.core.impl.future.CompositeFutureImpl.onComplete,io.vertx.core.impl.future.PromiseImpl.future,io.vertx.test.core.AsyncTestBase.assertTrue,io.vertx.core.impl.future.CompositeFutureImpl.all,io.vertx.test.core.AsyncTestBase.await"
