Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
jgrapht,org.jgrapht.GraphMetricsTest.testCountTriangles,65,10,",org.jgrapht.alg.util.UnorderedPair.hashCode,org.jgrapht.graph.AbstractBaseGraph.removeEdge,org.jgrapht.graph.AbstractGraph.removeAllVertices,org.jgrapht.generate.BarabasiAlbertGraphGenerator.generateGraph,org.jgrapht.graph.DefaultGraphType.isDirected,org.jgrapht.util.SupplierUtil.createIntegerSupplier,org.jgrapht.graph.AbstractBaseGraph.getEdgeSource,org.jgrapht.util.CollectionUtil.newHashMapWithExpectedSize,org.jgrapht.GraphMetrics.naiveCountTriangles,org.jgrapht.graph.AbstractGraph.removeAllEdges,org.jgrapht.graph.GraphDelegator.addEdge,org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,org.jgrapht.GraphTests.requireUndirected,org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.getIntrusiveEdge,org.jgrapht.graph.DefaultGraphType.isUndirected,org.jgrapht.generate.NamedGraphGenerator.generateDiamondGraph,org.jgrapht.graph.specifics.UndirectedSpecifics.addVertex,org.jgrapht.generate.NamedGraphGenerator.generateGeneralizedPetersenGraph,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.removeEdgeFromTouchingVertices,org.jgrapht.graph.specifics.DirectedSpecifics.degreeOf,org.jgrapht.graph.specifics.UndirectedEdgeContainer.addEdge,org.jgrapht.graph.AbstractBaseGraph.edgesOf,org.jgrapht.GraphMetrics.getNumberOfTriangles,org.jgrapht.generate.RingGraphGenerator.generateGraph,org.jgrapht.generate.NamedGraphGenerator.addVertex,org.jgrapht.generate.LinearGraphGenerator.generateGraph,org.jgrapht.graph.specifics.UndirectedEdgeContainer.getUnmodifiableVertexEdges,org.jgrapht.graph.AbstractBaseGraph.removeVertex,org.jgrapht.graph.specifics.UndirectedSpecifics.degreeOf,org.jgrapht.generate.NamedGraphGenerator.generateGoldnerHararyGraph,org.jgrapht.graph.specifics.ArrayUnenforcedSetEdgeSetFactory.createEdgeSet,org.jgrapht.graph.BaseIntrusiveEdgesSpecifics.getEdgeSource,org.jgrapht.GraphMetricsTest.naiveCountTriangles,org.jgrapht.graph.AbstractBaseGraph.getType,org.jgrapht.graph.specifics.DirectedSpecifics.addVertex,org.jgrapht.graph.specifics.UndirectedSpecifics.edgesOf,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addToIndex,org.jgrapht.graph.specifics.UndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.alg.util.UnorderedPair.equals,org.jgrapht.graph.specifics.UndirectedEdgeContainer.removeEdge,org.jgrapht.generate.WheelGraphGenerator.generateGraph,org.jgrapht.graph.AbstractBaseGraph.addVertex,org.jgrapht.graph.GraphDelegator.addVertex,org.jgrapht.graph.DefaultGraphType.isAllowingSelfLoops,org.jgrapht.generate.GeneralizedPetersenGraphGenerator.generateGraph,org.jgrapht.graph.AbstractBaseGraph.containsVertex,org.jgrapht.graph.BaseIntrusiveEdgesSpecifics.getEdgeTarget,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.removeFromIndex,org.jgrapht.graph.AbstractGraph.containsEdge,org.jgrapht.graph.FastLookupGraphSpecificsStrategy.getSpecificsFactory,org.jgrapht.graph.AbstractGraph.assertVertexExist,org.jgrapht.graph.specifics.DirectedSpecifics.inDegreeOf,org.jgrapht.graph.AbstractBaseGraph.edgeSet,org.jgrapht.graph.AbstractBaseGraph.containsEdge,org.jgrapht.generate.CompleteGraphGenerator.generateGraph,org.jgrapht.generate.NamedGraphGenerator.generatePetersenGraph,org.jgrapht.graph.specifics.DirectedSpecifics.getEdgeContainer,org.jgrapht.graph.BaseIntrusiveEdgesSpecifics.getEdgeSet,org.jgrapht.generate.NamedGraphGenerator.addEdge,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.getEdge,org.jgrapht.graph.specifics.UndirectedSpecifics.removeEdgeFromTouchingVertices,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.graph.specifics.DirectedSpecifics.outDegreeOf,org.jgrapht.graph.AbstractBaseGraph.getEdgeTarget,org.jgrapht.graph.BaseIntrusiveEdgesSpecifics.remove,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.createEdgeToTouchingVerticesIfAbsent,org.jgrapht.graph.specifics.UndirectedSpecifics.getVertexSet,org.jgrapht.graph.AbstractBaseGraph.getEdge,org.jgrapht.graph.AbstractBaseGraph.vertexSet,org.jgrapht.graph.specifics.UndirectedEdgeContainer.edgeCount,org.jgrapht.Graphs.getOppositeVertex,org.jgrapht.graph.AbstractBaseGraph.degreeOf,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.specifics.UndirectedSpecifics.getEdgeContainer,org.jgrapht.generate.NamedGraphGenerator.generateKlein7RegularGraph,org.jgrapht.GraphTests.requireDirectedOrUndirected,org.jgrapht.graph.BaseIntrusiveEdgesSpecifics.containsEdge",",org.jgrapht.graph.AbstractGraph.removeAllVertices,org.jgrapht.generate.BarabasiAlbertGraphGenerator.generateGraph,org.jgrapht.graph.FastLookupGraphSpecificsStrategy.getSpecificsFactory,org.jgrapht.util.SupplierUtil.createIntegerSupplier,org.jgrapht.GraphMetricsTest.naiveCountTriangles,org.jgrapht.generate.CompleteGraphGenerator.generateGraph,org.jgrapht.generate.NamedGraphGenerator.generatePetersenGraph,org.jgrapht.generate.WheelGraphGenerator.generateGraph,org.jgrapht.generate.NamedGraphGenerator.generateKlein7RegularGraph,org.jgrapht.generate.NamedGraphGenerator.generateDiamondGraph,org.jgrapht.GraphMetrics.getNumberOfTriangles,org.jgrapht.generate.NamedGraphGenerator.generateGoldnerHararyGraph"
jgrapht,org.jgrapht.GraphMetricsTest.testCountTriangles2,41,3,",org.jgrapht.alg.util.UnorderedPair.hashCode,org.jgrapht.graph.AbstractGraph.containsEdge,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.util.CollectionUtil.newHashMapWithExpectedSize,org.jgrapht.graph.AbstractBaseGraph.getEdgeSource,org.jgrapht.graph.specifics.DirectedSpecifics.outDegreeOf,org.jgrapht.graph.AbstractGraph.assertVertexExist,org.jgrapht.GraphMetrics.naiveCountTriangles,org.jgrapht.graph.specifics.UndirectedSpecifics.degreeOf,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.createEdgeToTouchingVerticesIfAbsent,org.jgrapht.graph.specifics.UndirectedSpecifics.getVertexSet,org.jgrapht.graph.AbstractBaseGraph.getEdge,org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,org.jgrapht.graph.specifics.ArrayUnenforcedSetEdgeSetFactory.createEdgeSet,org.jgrapht.GraphTests.requireUndirected,org.jgrapht.graph.BaseIntrusiveEdgesSpecifics.getEdgeSource,org.jgrapht.graph.specifics.DirectedSpecifics.inDegreeOf,org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.getIntrusiveEdge,org.jgrapht.GraphMetricsTest.naiveCountTriangles,org.jgrapht.graph.AbstractBaseGraph.getType,org.jgrapht.graph.AbstractBaseGraph.edgeSet,org.jgrapht.graph.specifics.UndirectedSpecifics.addVertex,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addToIndex,org.jgrapht.graph.specifics.UndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.alg.util.UnorderedPair.equals,org.jgrapht.graph.specifics.DirectedSpecifics.getEdgeContainer,org.jgrapht.graph.AbstractBaseGraph.vertexSet,org.jgrapht.generate.GnpRandomGraphGenerator.generateGraph,org.jgrapht.graph.specifics.UndirectedEdgeContainer.edgeCount,org.jgrapht.graph.AbstractBaseGraph.addVertex,org.jgrapht.Graphs.getOppositeVertex,org.jgrapht.graph.BaseIntrusiveEdgesSpecifics.getEdgeSet,org.jgrapht.graph.AbstractBaseGraph.degreeOf,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.specifics.UndirectedSpecifics.getEdgeContainer,org.jgrapht.graph.DefaultGraphType.isAllowingSelfLoops,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.getEdge,org.jgrapht.graph.specifics.DirectedSpecifics.degreeOf,org.jgrapht.graph.specifics.UndirectedEdgeContainer.addEdge,org.jgrapht.graph.AbstractBaseGraph.edgesOf,org.jgrapht.graph.AbstractBaseGraph.containsVertex,org.jgrapht.GraphMetrics.getNumberOfTriangles",",org.jgrapht.generate.GnpRandomGraphGenerator.generateGraph,org.jgrapht.GraphMetricsTest.naiveCountTriangles,org.jgrapht.GraphMetrics.getNumberOfTriangles"
jgrapht,org.jgrapht.GraphMetricsTest.testCountTriangles3,0,0,,
jgrapht,org.jgrapht.GraphMetricsTest.testDirectedGraphs,32,4,"org.jgrapht.alg.cycle.TarjanSimpleCycles.getRemoved,org.jgrapht.graph.BaseIntrusiveEdgesSpecifics.getEdgeTarget,org.jgrapht.graph.specifics.DirectedSpecifics.addEdgeToTouchingVertices,,org.jgrapht.alg.util.NeighborCache.successorsOf,org.jgrapht.alg.util.Pair.hashCode,org.jgrapht.util.SupplierUtil.createIntegerSupplier,org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.createEdgeToTouchingVerticesIfAbsent,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.graph.AbstractBaseGraph.getEdgeSource,org.jgrapht.graph.AbstractBaseGraph.getEdgeTarget,org.jgrapht.alg.cycle.TarjanSimpleCycles.findSimpleCycles,org.jgrapht.graph.AbstractGraph.assertVertexExist,org.jgrapht.alg.util.NeighborCache.fetch,org.jgrapht.graph.specifics.DirectedSpecifics.getVertexSet,org.jgrapht.alg.cycle.TarjanSimpleCycles.initState,org.jgrapht.graph.specifics.UndirectedSpecifics.getVertexSet,org.jgrapht.Graphs.successorListOf,org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.getIntrusiveEdge,org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.alg.cycle.TarjanSimpleCycles.backtrack,org.jgrapht.graph.specifics.DirectedSpecifics.addVertex,org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.addToIndex,org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.getEdge,org.jgrapht.graph.specifics.DirectedSpecifics.outgoingEdgesOf,org.jgrapht.graph.specifics.DirectedSpecifics.getEdgeContainer,org.jgrapht.graph.specifics.DirectedEdgeContainer.addOutgoingEdge,org.jgrapht.alg.cycle.TarjanSimpleCycles.toI,org.jgrapht.graph.specifics.DirectedEdgeContainer.addIncomingEdge,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.generate.GnpRandomGraphGenerator.generateGraph,org.jgrapht.graph.AbstractBaseGraph.addVertex,org.jgrapht.Graphs.getOppositeVertex,org.jgrapht.graph.AbstractBaseGraph.outgoingEdgesOf,org.jgrapht.graph.AbstractBaseGraph.containsVertex",",org.jgrapht.util.SupplierUtil.createIntegerSupplier,org.jgrapht.alg.cycle.TarjanSimpleCycles.findSimpleCycles,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.generate.GnpRandomGraphGenerator.generateGraph"
jgrapht,org.jgrapht.GraphMetricsTest.testGraphDiameter,10,2,",org.jgrapht.alg.util.Pair.hashCode,org.jgrapht.graph.WeightedIntrusiveEdgesSpecifics.getIntrusiveEdge,org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.addEdgeToTouchingVerticesIfAbsent,org.jgrapht.alg.shortestpath.GraphMeasurer.getDiameter,org.jgrapht.alg.shortestpath.FloydWarshallShortestPaths.getPathWeight,org.jgrapht.graph.AbstractBaseGraph.getEdgeWeight,org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.BaseIntrusiveEdgesSpecifics.containsEdge,org.jgrapht.GraphMetrics.getDiameter,org.jgrapht.graph.WeightedIntrusiveEdgesSpecifics.getEdgeWeight,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.Graphs.addEdgeWithVertices,org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.addToIndex,org.jgrapht.alg.shortestpath.GraphMeasurer.computeEccentricityMap,org.jgrapht.Graphs.addEdge,org.jgrapht.graph.AbstractGraph.assertVertexExist,org.jgrapht.alg.shortestpath.FloydWarshallShortestPaths.lazyCalculateMatrix",",org.jgrapht.Graphs.addEdgeWithVertices,org.jgrapht.GraphMetrics.getDiameter"
jgrapht,org.jgrapht.GraphMetricsTest.testGraphDirected1,3,2,",org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,org.jgrapht.alg.util.NeighborCache.successorsOf,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.alg.util.NeighborCache.fetch,org.jgrapht.GraphMetrics.getGirth",",org.jgrapht.GraphMetrics.getGirth,org.jgrapht.graph.AbstractBaseGraph.addEdge"
jgrapht,org.jgrapht.GraphMetricsTest.testGraphDirectedAcyclic,8,3,"org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,org.jgrapht.alg.util.NeighborCache.successorsOf,,org.jgrapht.graph.BaseIntrusiveEdgesSpecifics.getEdgeTarget,org.jgrapht.Graphs.getOppositeVertex,org.jgrapht.graph.specifics.DirectedSpecifics.getVertexSet,org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.getIntrusiveEdge,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.Graphs.addAllVertices,org.jgrapht.alg.util.NeighborCache.fetch,org.jgrapht.graph.AbstractBaseGraph.getEdgeTarget,org.jgrapht.graph.AbstractBaseGraph.vertexSet,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.util.SupplierUtil.createSupplier,org.jgrapht.Graphs.successorListOf",",org.jgrapht.Graphs.addAllVertices,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.util.SupplierUtil.createSupplier"
jgrapht,org.jgrapht.GraphMetricsTest.testGraphDirectedCyclic,7,2,"org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,org.jgrapht.alg.util.NeighborCache.successorsOf,org.jgrapht.Graphs.getOppositeVertex,,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.alg.util.NeighborCache.fetch,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.Graphs.successorListOf","org.jgrapht.GraphMetrics.getGirth,,org.jgrapht.graph.AbstractBaseGraph.addEdge"
jgrapht,org.jgrapht.GraphMetricsTest.testGraphDirectedCyclic2,0,0,,
jgrapht,org.jgrapht.GraphMetricsTest.testGraphGirthAcyclic,6,2,",org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.specifics.UndirectedSpecifics.getEdgeContainer,org.jgrapht.alg.util.NeighborCache.neighborsOf,org.jgrapht.graph.specifics.UndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.alg.util.NeighborCache.fetch,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.createEdgeToTouchingVerticesIfAbsent,org.jgrapht.Graphs.neighborListOf",",org.jgrapht.GraphMetrics.getGirth,org.jgrapht.graph.AbstractBaseGraph.addEdge"
jgrapht,org.jgrapht.GraphMetricsTest.testGraphGirthGridGraph,6,2,",org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,org.jgrapht.alg.util.UnorderedPair.hashCode,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addToIndex,org.jgrapht.alg.util.NeighborCache.neighborsOf,org.jgrapht.generate.GridGraphGenerator.generateGraph,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.getEdge,org.jgrapht.alg.util.NeighborCache.fetch,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.createEdgeToTouchingVerticesIfAbsent","org.jgrapht.GraphMetrics.getGirth,,org.jgrapht.generate.GridGraphGenerator.generateGraph"
jgrapht,org.jgrapht.GraphMetricsTest.testGraphGirthRingGraphEven,10,2,",org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,org.jgrapht.alg.util.UnorderedPair.hashCode,org.jgrapht.generate.LinearGraphGenerator.generateGraph,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addToIndex,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.alg.util.NeighborCache.neighborsOf,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.alg.util.NeighborCache.fetch,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.createEdgeToTouchingVerticesIfAbsent,org.jgrapht.generate.RingGraphGenerator.generateGraph,org.jgrapht.Graphs.neighborListOf",",org.jgrapht.GraphMetrics.getGirth,org.jgrapht.generate.RingGraphGenerator.generateGraph"
jgrapht,org.jgrapht.GraphMetricsTest.testGraphGirthRingGraphOdd,10,2,",org.jgrapht.generate.LinearGraphGenerator.generateGraph,org.jgrapht.alg.util.NeighborCache.neighborsOf,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.alg.util.NeighborCache.fetch,org.jgrapht.graph.AbstractBaseGraph.addVertex,org.jgrapht.graph.specifics.UndirectedSpecifics.addVertex,org.jgrapht.graph.AbstractBaseGraph.vertexSet,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.createEdgeToTouchingVerticesIfAbsent,org.jgrapht.generate.RingGraphGenerator.generateGraph,org.jgrapht.Graphs.neighborListOf","org.jgrapht.GraphMetrics.getGirth,,org.jgrapht.generate.RingGraphGenerator.generateGraph"
jgrapht,org.jgrapht.GraphMetricsTest.testGraphGirthWheelGraph,9,2,",org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,org.jgrapht.graph.GraphDelegator.addVertex,org.jgrapht.generate.LinearGraphGenerator.generateGraph,org.jgrapht.graph.specifics.UndirectedSpecifics.getEdgeContainer,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.specifics.UndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.alg.util.NeighborCache.neighborsOf,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.generate.WheelGraphGenerator.generateGraph,org.jgrapht.alg.util.NeighborCache.fetch,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.createEdgeToTouchingVerticesIfAbsent,org.jgrapht.generate.RingGraphGenerator.generateGraph,org.jgrapht.graph.GraphDelegator.addEdge","org.jgrapht.generate.WheelGraphGenerator.generateGraph,,org.jgrapht.GraphMetrics.getGirth"
jgrapht,org.jgrapht.GraphMetricsTest.testGraphRadius,3,1,",org.jgrapht.GraphMetrics.getRadius,org.jgrapht.alg.shortestpath.GraphMeasurer.getRadius,org.jgrapht.alg.shortestpath.GraphMeasurer.computeEccentricityMap",",org.jgrapht.GraphMetrics.getRadius"
jgrapht,org.jgrapht.GraphMetricsTest.testMultiGraphDirected,5,2,"org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,,org.jgrapht.alg.util.NeighborCache.successorsOf,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.Graphs.addAllVertices,org.jgrapht.alg.util.NeighborCache.fetch,org.jgrapht.graph.specifics.DirectedSpecifics.addVertex,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.Graphs.successorListOf,org.jgrapht.graph.AbstractBaseGraph.addVertex","org.jgrapht.GraphMetrics.getGirth,,org.jgrapht.Graphs.addAllVertices,org.jgrapht.graph.AbstractBaseGraph.addEdge"
jgrapht,org.jgrapht.GraphMetricsTest.testMultiGraphUndirected,6,2,",org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addToIndex,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.alg.util.NeighborCache.neighborsOf,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.alg.util.NeighborCache.fetch,org.jgrapht.graph.AbstractBaseGraph.getAllEdges,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.getAllEdges",",org.jgrapht.GraphMetrics.getGirth,org.jgrapht.graph.AbstractBaseGraph.addEdge"
jgrapht,org.jgrapht.GraphMetricsTest.testPseudoGraphDirected,4,3,",org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.Graphs.addAllVertices,org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.addToIndex,org.jgrapht.graph.AbstractGraph.assertVertexExist,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.util.SupplierUtil.createSupplier",",org.jgrapht.Graphs.addAllVertices,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.util.SupplierUtil.createSupplier"
jgrapht,org.jgrapht.GraphMetricsTest.testPseudoGraphUndirected,5,2,",org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.specifics.UndirectedSpecifics.getEdgeContainer,org.jgrapht.graph.specifics.UndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.util.SupplierUtil.createSupplier",",org.jgrapht.util.SupplierUtil.createSupplier,org.jgrapht.GraphMetrics.getGirth,org.jgrapht.graph.AbstractBaseGraph.addEdge"
jgrapht,org.jgrapht.GraphTestsTest.failRequireIsWeightedOnNull,1,1,",org.jgrapht.GraphTests.requireWeighted",",org.jgrapht.GraphTests.requireWeighted"
jgrapht,org.jgrapht.GraphTestsTest.failRequireIsWeightedOnUnweightedGraph,1,1,",org.jgrapht.GraphTests.requireWeighted",",org.jgrapht.GraphTests.requireWeighted"
jgrapht,org.jgrapht.GraphTestsTest.isSplit1,13,3,",org.jgrapht.GraphTests.isSplit,org.jgrapht.generate.NamedGraphGenerator.petersenGraph,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.graph.AbstractGraph.assertVertexExist,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.createEdgeToTouchingVerticesIfAbsent,org.jgrapht.util.UnmodifiableUnionSet.orderSetsBySize,org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,org.jgrapht.util.UnmodifiableUnionSet.iterator,org.jgrapht.graph.specifics.UndirectedSpecifics.addVertex,org.jgrapht.generate.NamedGraphGenerator.generateGeneralizedPetersenGraph,org.jgrapht.GraphTests.isSimple,org.jgrapht.graph.specifics.UndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.AbstractBaseGraph.vertexSet,org.jgrapht.graph.AbstractBaseGraph.addVertex,org.jgrapht.Graphs.getOppositeVertex,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.specifics.UndirectedSpecifics.getEdgeContainer,org.jgrapht.generate.NamedGraphGenerator.generalizedPetersenGraph,org.jgrapht.generate.GeneralizedPetersenGraphGenerator.generateGraph,org.jgrapht.graph.AbstractBaseGraph.containsVertex",",org.jgrapht.GraphTests.isSplit,org.jgrapht.generate.NamedGraphGenerator.petersenGraph,org.jgrapht.graph.AbstractBaseGraph.addEdge"
jgrapht,org.jgrapht.GraphTestsTest.isSplit2,10,4,"org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,org.jgrapht.GraphTests.isSplit,,org.jgrapht.alg.util.UnorderedPair.hashCode,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addToIndex,org.jgrapht.graph.specifics.UndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.specifics.UndirectedSpecifics.getEdgeContainer,org.jgrapht.generate.CompleteGraphGenerator.generateGraph,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.util.SupplierUtil.createDefaultEdgeSupplier,org.jgrapht.graph.specifics.UndirectedEdgeContainer.addEdge,org.jgrapht.graph.specifics.UndirectedSpecifics.addVertex,org.jgrapht.GraphTestsUtils.createSimpleGraph,org.jgrapht.util.SupplierUtil.createSupplier,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.createEdgeToTouchingVerticesIfAbsent,org.jgrapht.graph.AbstractBaseGraph.addVertex",",org.jgrapht.GraphTests.isSplit,org.jgrapht.generate.CompleteGraphGenerator.generateGraph,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.GraphTestsUtils.createSimpleGraph,org.jgrapht.graph.AbstractBaseGraph.addVertex"
jgrapht,org.jgrapht.GraphTestsTest.testHasMultipleEdges,4,2,",org.jgrapht.alg.util.UnorderedPair.hashCode,org.jgrapht.Graphs.getOppositeVertex,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addToIndex,org.jgrapht.graph.FastLookupGraphSpecificsStrategy.getSpecificsFactory,org.jgrapht.GraphTests.hasMultipleEdges,org.jgrapht.graph.AbstractBaseGraph.getEdgeSource,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.util.SupplierUtil.createSupplier",",org.jgrapht.graph.FastLookupGraphSpecificsStrategy.getSpecificsFactory,org.jgrapht.GraphTests.hasMultipleEdges,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.util.SupplierUtil.createSupplier"
jgrapht,org.jgrapht.GraphTestsTest.testHasSelfLoops,4,1,"org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.add,,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.specifics.UndirectedSpecifics.addEdgeToTouchingVertices,org.jgrapht.graph.AbstractBaseGraph.addEdge,org.jgrapht.graph.specifics.UndirectedEdgeContainer.addEdge,org.jgrapht.util.SupplierUtil.createSupplier,org.jgrapht.GraphTests.hasSelfLoops",",org.jgrapht.util.SupplierUtil.createSupplier,org.jgrapht.GraphTests.hasSelfLoops,org.jgrapht.graph.AbstractBaseGraph.addEdge"
